3 8770	1733	1306	1216	1177	1105	1047	997	998	1039	1023	1000	978	1029	1010	989	1031	987	975	1033	1023	1043	986	1052	1073	1033	977	1277	1055	990	1026	1074	1032	1003	1006	978	1027	1036	1013	1061	1002	1033	997	976	1019	982	1035	969	1094	981	& 010
9 1470	1447	1340	1276	1275	1289	1310	1302	1283	1295	1277	1354	1341	1278	1271	1327	1375	1310	1262	1285	1271	1351	1272	1303	1372	1305	1260	1267	1344	1297	1337	1234	1266	1251	1298	1325	1258	1223	1276	1299	1284	1322	1408	1286	1329	1328	1281	1346	1257	1285	& 0010
27 1516	1417	1337	1291	1385	1327	1326	1333	1334	1310	1371	1306	1289	1334	1310	1310	1371	1327	1333	1338	1310	1341	1289	1295	1352	1328	1314	1328	1388	1273	1387	1314	1300	1327	1374	1404	1318	1293	1333	1332	1298	1280	1423	1277	1322	1321	1295	1291	1362	1337	& 00010
81 2375	2006	1593	1634	1636	1597	1592	1650	1591	1669	1640	1617	1630	1600	1630	1686	1590	1592	1591	1550	1588	1622	1605	1652	1616	1701	1625	1586	1678	1602	1603	1597	1610	1574	1569	1652	1669	1566	1586	1624	1647	1584	1563	1634	1601	1588	1545	1591	1603	1601	& 000010
243 1917	1830	1868	1633	1592	1609	1645	1735	1663	1654	1610	1691	1683	1686	1656	1609	1661	1653	1734	1712	1767	1648	1645	1685	1620	1623	1645	1618	1663	1701	1612	1669	1671	1629	1624	1652	1695	1632	1586	1651	1756	1615	1706	1675	1718	1601	1733	1626	1605	1637	& 0000010
729 2151	1933	1733	1712	1668	1730	1653	1740	1684	1651	1638	1776	1700	1781	1701	1666	1685	1699	1663	1686	1720	1683	1688	1691	1787	1672	1644	1742	1716	1627	1708	1737	1589	1701	1762	1680	1643	1701	1709	1659	1674	1720	1623	1755	1730	1712	1655	1711	1666	1733	& 00000010
2187 2211	1897	1781	1761	1738	1779	1716	1653	1774	1741	1707	1764	1687	1889	1780	1827	1760	1737	1682	1731	1723	1802	1834	1792	1802	1736	1696	1747	1826	1735	1720	1715	1728	1672	1718	1705	1747	1793	1721	1744	1675	1707	1722	1738	1749	1741	1690	1698	1718	1712	& 000000010
6561 4026	3245	3051	2982	2875	2974	2962	2939	3133	3470	3300	3225	3174	3344	3098	3224	3244	3152	3160	3060	3292	2978	3294	3060	3266	3217	3224	3148	3355	3180	3245	3139	3078	3217	3285	3276	3168	3254	3239	3180	3255	3165	3222	3152	3221	3236	3208	3329	3226	3150	& 0000000010
19683 4411	3925	3287	3294	3314	3326	3236	3331	3321	3370	3380	3377	3270	3255	3345	3243	3271	3394	3238	3317	3255	3336	3278	3390	3356	3271	3420	3260	3291	3271	3290	3253	3212	3375	3239	2992	2521	2949	2662	2700	2950	2975	2698	2761	2974	3010	3346	3179	2991	3018	& 00000000010
59049 20173	3937	3464	3438	3700	2885	3173	3110	3101	3033	2983	2975	3101	3040	3027	3044	2964	2984	3115	3118	3057	2861	4697	2748	2638	2540	2615	2821	2825	2935	2993	2816	3071	3108	2748	2828	2736	2769	2633	2772	2838	3199	3094	2926	2588	2655	2946	2833	3004	3060	& 000000000010
177147 40426	3802	3197	3154	3111	3123	3082	3219	3183	3211	3195	3088	3157	3204	3220	3161	3191	3170	3044	3263	3181	3174	3066	3083	3045	3181	3069	3032	3105	3125	3152	3168	3147	3102	3200	3110	3247	3243	3091	3084	3160	3182	3079	3068	3182	3112	3066	3118	3130	3201	& 0000000000010
531441 109145	3839	3333	3168	3256	3180	3237	3227	3275	3254	3220	3197	3245	3255	3267	3184	3213	3151	3214	3186	3306	3161	3261	3153	3364	3134	3257	3202	3152	3187	3288	3140	3151	3147	3202	3258	3295	3251	3328	3200	3267	3102	3167	3163	3277	3270	3226	3257	3160	3229	& 00000000000010
1594323 176811	4152	3069	2862	2947	3021	2854	3102	2635	2855	3137	2906	2784	3114	2794	3173	3190	3077	3044	3249	2991	2826	2704	2951	2838	2949	3094	3088	3033	3035	4034	2902	2776	2733	2996	2736	2771	2575	2673	2594	2714	2978	2655	2555	2683	2922	2965	2863	2867	3046	& 000000000000010
4782969 235714	4415	3395	3278	3543	3392	3445	3559	3493	3377	3477	3378	3448	3460	3044	2662	2618	2712	2635	2727	2624	2725	3250	2894	3096	3004	3064	3371	3273	3224	3410	3451	3433	3414	3400	3512	3422	3499	3464	3431	3337	3576	3440	3398	3465	3377	3444	3417	3532	3469	& 0000000000000010
14348907 171798	4247	3724	3547	3561	3547	3511	3510	3496	3525	3470	3392	3481	3443	3537	3501	3455	3331	3419	3502	3477	3529	3542	3448	3364	3515	3457	3346	3292	3481	3395	3361	3362	3407	3408	3479	3444	3414	3492	3415	3451	3540	3423	3562	3369	3512	3400	3517	3499	3398	& 00000000000000010
