3 6478	1991	1534	1499	1489	1522	1489	1531	1405	1483	1483	1482	1391	1418	1417	1413	1413	1404	1470	1397	1414	1439	1463	1418	1379	1385	1431	1410	1387	1408	1466	1428	1390	1426	1411	1377	1391	1407	1403	1442	1365	1377	1418	1393	1370	1444	1466	1398	1426	1465	1462	1478	1450	1469	1397	1404	1535	1471	1416	1388	1453	1511	1414	1447	1438	1408	1460	1487	1407	1394	1423	1418	1479	1447	1466	1404	1456	1396	1445	1442	1401	1411	1458	1417	1391	1408	1424	1474	1398	1442	1426	1457	1394	1414	1458	1432	1493	1394	1477	1389	& 010
9 2055	1978	1858	1809	1805	1867	1764	1760	1781	1809	1787	1770	1852	1794	1875	1804	1875	1791	1823	1812	1793	1758	1777	1807	1776	1787	1780	1851	1801	1828	1837	1747	1820	1871	1851	1871	1786	1825	1778	1782	1834	1840	1768	1827	1786	1748	1771	1799	1831	1785	1761	1867	1785	1784	1811	1790	1805	1875	1835	1843	1777	1788	1826	1841	1759	1787	1818	1821	1826	1787	1777	1761	1843	1778	1805	1769	1796	1914	1884	1845	1918	1784	1827	1814	1784	1803	1781	1830	1796	1861	1787	1773	1757	1789	1819	1786	1743	1760	1820	1797	& 0010
27 2023	2045	1883	1842	1826	1839	1861	1834	1872	1882	1840	1868	1872	1926	1833	1887	1838	1861	1857	1820	1905	1928	1966	1970	1861	1855	1909	1900	1958	1916	1905	1854	1880	1868	1867	1867	1863	1818	1839	1871	1823	1870	1849	1839	1860	1814	1896	1873	1843	1921	1880	1841	1858	1858	1884	1841	1965	1918	1884	1842	1867	1857	1894	1874	1878	1892	1845	1839	1846	1886	1904	1913	1846	1807	1831	1823	1937	1848	1796	1811	1865	1822	1852	1882	1861	1836	1846	1771	1805	1838	1813	1852	1864	1809	1891	1849	1853	1890	1843	1912	& 00010
81 3322	2164	1814	1850	1760	1801	1814	1799	1769	1816	1804	1776	1821	1767	1781	1866	1823	1760	1778	1808	1841	1775	1802	1835	1786	1804	1791	1802	1824	1836	1791	1809	1778	1819	1765	1846	1797	1877	1790	1801	1849	1819	1774	1779	1760	1781	1773	1781	1796	1811	1774	1809	1792	1821	1801	1780	1766	1820	1791	1772	1768	1824	1774	1822	1776	1768	1832	1858	1846	1852	1810	1859	1768	1814	1835	1801	1791	1765	1799	1798	1824	1810	1902	1782	1803	1797	1813	1826	1854	1821	1857	1914	1806	1817	1761	1802	1796	1762	1803	1855	& 000010
243 2172	2238	1855	1850	1852	1833	1940	1852	1843	1860	1907	1893	1865	1974	1806	1825	1866	1853	1851	1839	1836	1828	1890	1850	1846	1835	1908	1849	1821	1852	1856	1909	1824	1846	1878	1923	1859	1829	1841	1816	1884	1798	1857	1915	1830	1856	1838	1888	1894	1875	1847	1862	1875	1899	1857	1842	1884	1902	1859	1868	1903	2011	1848	1897	1846	1865	1797	1851	1892	1851	1866	1875	1862	1932	1937	1904	1878	1861	1865	1909	1938	1860	1827	1848	1905	1866	1867	1867	1877	1904	1875	1810	1803	1842	1835	1958	1835	1833	1850	1939	& 0000010
729 2416	2226	1994	1983	1888	1883	1900	1961	1886	1908	1871	1886	1961	1992	1916	1920	1841	1868	1885	1905	1926	1992	1889	1869	1863	1873	1869	1870	2096	1902	1876	1978	1926	1888	1888	1896	1950	2010	2225	1934	1975	1910	1875	1854	1836	1951	1919	1840	1931	1902	1905	1937	1919	1909	2010	1923	1900	1908	1929	2026	1880	1994	1910	1917	1898	1880	1875	1912	1869	1866	1861	1884	1902	1934	1891	1923	1925	1919	1857	1965	1893	1920	1922	1913	1944	1914	1871	1941	1871	1976	1972	1889	2248	1948	1864	1971	1898	1891	2045	1918	& 00000010
2187 2634	2189	2010	1947	1994	1885	1927	2143	1991	1953	1934	2038	1932	1928	1905	1950	1911	1932	2001	2105	1953	1938	2012	1957	1954	1985	2045	1934	1934	1947	1954	2139	1951	2124	1922	2076	1998	2136	1940	2023	2019	2052	1925	1993	2104	1909	1897	1939	1948	2014	2027	2177	1923	1991	1909	1904	1943	1910	1883	1970	1906	1914	1964	1999	1939	1981	1905	2031	1913	2036	1938	2290	2000	1909	1940	2033	1944	1932	1952	2028	2027	1940	1985	2008	2342	2007	2041	2181	1999	1946	2014	1949	1945	1914	1928	1916	2058	2257	2069	2050	& 000000010
6561 3069	2458	2239	2410	2397	2364	2295	2304	2357	2348	2270	2290	2338	2266	2289	2272	2325	2310	2258	2319	2300	2314	2270	2266	2248	2263	2351	2249	2296	2266	2338	2385	2296	2276	2269	2250	2215	2231	2212	2410	2307	2273	2294	2280	2229	2228	2345	2292	2284	2281	2282	2295	2294	2233	2221	2243	2205	2260	2259	2287	2247	2235	2287	2275	2272	2330	2248	2265	2246	2267	2230	2232	2211	2247	2269	2281	2402	2221	2224	2204	2289	2263	2369	2325	2225	2303	2251	2359	2315	2306	2296	2268	2331	2276	2302	2284	2320	2302	2275	2295	& 0000000010
19683 4232	3149	2521	2293	2296	2256	2405	2425	2334	2304	2304	2342	2385	2405	2415	2370	2333	2300	2337	2359	2345	2309	2279	2300	2284	2291	2345	2316	2361	2429	2310	2304	2331	2350	2304	2284	2332	2286	2309	2314	2265	2346	2300	2317	2349	2293	2356	2320	2283	2300	2331	2289	2320	2332	2367	2330	2319	2274	2392	2293	2308	2300	2317	2273	2289	2339	2316	2327	2403	2402	2398	2380	2361	2308	2274	2331	2306	2300	2331	2346	2365	2348	2282	2327	2330	2365	2340	2450	2297	2360	2292	2327	2294	2256	2327	2307	2281	2336	2306	2340	& 00000000010
59049 19213	2686	2611	2457	2351	2329	2314	2436	2339	2406	2372	2450	2372	2379	2294	2341	2372	2357	2381	2426	2396	2377	2336	2413	2391	2341	2426	2346	2374	2476	2309	2342	2365	2399	2367	2331	2304	2386	2324	2349	2419	2396	2377	2333	2336	2382	2258	2409	2366	2304	2382	2312	2421	2434	2437	2307	2402	2275	2339	2386	2558	2434	2359	2350	2484	2401	2356	2423	2543	2365	2362	2326	2334	2337	2421	2493	2404	2344	2335	2341	2378	2427	2352	2319	2468	2429	2318	2283	2368	2345	2354	2293	2338	2338	2571	2316	2369	2352	2329	2893	& 000000000010
